Timestamp,Emotion,Confidence
2025-08-20 17:52:23,Neutral,0.30
2025-08-20 17:52:23,Surprise,0.34
2025-08-20 17:52:23,Neutral,0.39
2025-08-20 17:52:23,Surprise,0.30
2025-08-20 17:52:23,Neutral,0.38
2025-08-20 17:52:24,Neutral,0.41
2025-08-20 17:52:24,Surprise,0.31
2025-08-20 17:52:24,Neutral,0.29
2025-08-20 17:52:24,Neutral,0.30
2025-08-20 17:52:24,Neutral,0.28
2025-08-20 17:52:25,Sad,0.30
2025-08-20 17:52:25,Neutral,0.31
2025-08-20 17:52:25,Neutral,0.42
2025-08-20 17:52:25,Fear,0.30
2025-08-20 17:52:26,Sad,0.29
2025-08-20 17:52:26,Sad,0.35
2025-08-20 17:52:26,Surprise,0.30
2025-08-20 17:52:26,Fear,0.29
2025-08-20 17:52:27,Neutral,0.35
2025-08-20 17:52:27,Surprise,0.36
2025-08-20 17:52:27,Sad,0.35
2025-08-20 17:52:27,Surprise,0.34
2025-08-20 17:52:27,Sad,0.31
2025-08-20 17:52:27,Fear,0.31
2025-08-20 17:52:28,Sad,0.38
2025-08-20 17:52:28,Sad,0.42
2025-08-20 17:52:28,Surprise,0.31
2025-08-20 17:52:28,Sad,0.43
2025-08-20 17:52:29,Sad,0.36
2025-08-20 17:52:29,Surprise,0.33
2025-08-20 17:52:29,Sad,0.44
2025-08-20 17:52:30,Surprise,0.34
2025-08-20 17:52:30,Sad,0.32
2025-08-20 17:52:30,Sad,0.41
2025-08-20 17:52:30,Surprise,0.31
2025-08-20 17:52:30,Sad,0.28
2025-08-20 17:52:31,Sad,0.40
2025-08-20 17:52:31,Surprise,0.32
2025-08-20 17:52:31,Sad,0.38
2025-08-20 17:52:31,Neutral,0.32
2025-08-20 17:52:31,Sad,0.32
2025-08-20 17:52:32,Surprise,0.31
2025-08-20 17:52:32,Sad,0.33
2025-08-20 17:52:32,Surprise,0.33
2025-08-20 17:52:32,Sad,0.36
2025-08-20 17:52:33,Sad,0.25
2025-08-20 17:52:33,Surprise,0.34
2025-08-20 17:52:33,Sad,0.42
2025-08-20 17:52:33,Surprise,0.34
2025-08-20 17:52:33,Neutral,0.34
2025-08-20 17:52:34,Surprise,0.33
2025-08-20 17:52:34,Sad,0.35
2025-08-20 17:52:34,Surprise,0.35
2025-08-20 17:52:34,Sad,0.49
2025-08-20 17:52:35,Sad,0.38
2025-08-20 17:52:35,Sad,0.43
2025-08-20 17:52:35,Sad,0.48
2025-08-20 17:52:36,Sad,0.42
2025-08-20 17:52:36,Sad,0.42
2025-08-20 17:52:36,Sad,0.42
2025-08-20 17:52:37,Sad,0.39
2025-08-20 17:52:37,Sad,0.39
2025-08-20 17:52:37,Surprise,0.36
2025-08-20 17:52:38,Sad,0.39
2025-08-20 17:52:38,Surprise,0.37
2025-08-20 17:52:38,Sad,0.40
2025-08-20 17:52:38,Surprise,0.36
2025-08-20 17:52:38,Sad,0.45
2025-08-20 17:52:39,Sad,0.39
2025-08-20 17:52:39,Surprise,0.35
2025-08-20 17:52:39,Sad,0.47
2025-08-20 17:52:39,Sad,0.56
2025-08-20 17:52:40,Surprise,0.33
2025-08-20 17:52:40,Sad,0.36
2025-08-20 17:52:40,Sad,0.32
2025-08-20 17:52:41,Neutral,0.51
2025-08-20 17:52:41,Surprise,0.31
2025-08-20 17:52:41,Neutral,0.63
2025-08-20 17:52:41,Neutral,0.50
2025-08-20 17:52:42,Surprise,0.31
2025-08-20 17:52:42,Neutral,0.47
2025-08-20 17:52:42,Surprise,0.35
2025-08-20 17:52:42,Neutral,0.48
2025-08-20 17:52:42,Neutral,0.38
2025-08-20 17:52:42,Surprise,0.33
2025-08-20 17:52:43,Fear,0.37
2025-08-20 17:52:43,Neutral,0.49
2025-08-20 17:52:43,Surprise,0.31
2025-08-20 17:52:43,Neutral,0.59
2025-08-20 17:52:44,Fear,0.36
2025-08-20 17:52:44,Neutral,0.69
2025-08-20 17:52:44,Happy,0.47
2025-08-20 17:52:44,Fear,0.32
2025-08-20 17:52:44,Neutral,0.57
2025-08-20 17:52:45,Fear,0.37
2025-08-20 17:52:45,Neutral,0.71
2025-08-20 17:52:45,Fear,0.35
2025-08-20 17:52:45,Neutral,0.82
2025-08-20 17:52:45,Fear,0.36
2025-08-20 17:52:45,Neutral,0.72
2025-08-20 17:52:46,Fear,0.35
2025-08-20 17:52:46,Neutral,0.73
2025-08-20 17:52:46,Surprise,0.32
2025-08-20 17:52:46,Neutral,0.72
2025-08-20 17:52:47,Neutral,0.73
2025-08-20 17:52:47,Neutral,0.92
2025-08-20 17:52:47,Neutral,0.27
2025-08-20 17:52:47,Neutral,0.91
2025-08-20 17:52:48,Neutral,0.72
2025-08-20 17:52:48,Neutral,0.56
2025-08-20 17:52:49,Neutral,0.71
2025-08-20 17:52:49,Neutral,0.77
2025-08-20 17:52:49,Neutral,0.74
